['76', '小鞋子', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg', '导演:马基德·马基迪MajidMajidi   主演:默罕默德·阿米尔·纳吉Mohamma...1997 / 伊朗 / 剧情儿童家庭', '9.2', '427073人评价', '奔跑的孩子是天使。']
['77', '功夫', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg', '导演:周星驰StephenChow   主演:周星驰StephenChow/元秋QiuYuen/...2004 / 中国大陆中国香港 / 动作喜剧犯罪奇幻', '8.8', '1197001人评价', '警恶惩奸，维护世界和平这个任务就交给你了，好吗？']
['78', '沉默的羔羊', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg', '导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...1991 / 美国 / 剧情犯罪惊悚', '8.9', '929407人评价', '安东尼·霍普金斯的顶级表演。']
['79', '布达佩斯大饭店', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg', '导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...2014 / 美国德国英国 / 剧情喜剧冒险', '8.9', '987048人评价', '小清新的故事里注入了大历史的情怀。']
['80', '禁闭岛', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg', '导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...2010 / 美国 / 剧情悬疑惊悚', '8.9', '1020733人评价', '昔日翩翩少年，今日大腹便便。']
['81', '蝴蝶效应', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg', '导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...2004 / 美国加拿大 / 剧情悬疑科幻惊悚', '8.9', '976893人评价', '人的命运被自己瞬间的抉择改变。']
['82', '哈利·波特与阿兹卡班的囚徒', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg', '导演:AlfonsoCuarón   主演:丹尼尔·雷德克里夫DanielRadcliffe/Emma...2004 / 英国美国 / 奇幻冒险', '9.0', '774544人评价', '不一样的导演，不一样的哈利·波特。']
['83', '致命魔术', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg', '导演:克里斯托弗·诺兰ChristopherNolan   主演:休·杰克曼HughJackman...2006 / 英国美国 / 剧情悬疑惊悚', '8.9', '894254人评价', '孪生蝙蝠侠大战克隆金刚狼。']
['84', '心灵捕手', 'https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg', '导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...1997 / 美国 / 剧情', '8.9', '747635人评价', '人生中应该拥有这样的一段豁然开朗。']
['85', '超脱', 'https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg', '导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/马西...2011 / 美国 / 剧情', '9.0', '641478人评价', '穷尽一生，我们要学会的，不过是彼此拥抱。']
